,번호,부스번호,주 전시품목,홈페이지,회사명
162,12,,프레뉴 매직미러,www.frenew.kr,프레뉴
163,11,,페이지콜,,플링크
164,10,,레이저사격훈련시스템,www.howtech.modoo.at,하우텍(주)
165,9,,모바일 액정 클리너,www.hwtcleaner.com,하이월드테크(주)
166,8,,중소기업 기술지원 서비스,https://www.koita.or.kr/main/main.aspx,한국산업기술진흥협회
167,7,,시험 및 인증기관,https://www.sgsgroup.kr/,한국에스지에스 (주)
168,6,,디지털정보활용능력,www.ihd.or.kr,한국정보통신진흥협회 자격검정
169,5,,퀄컴 스냅드래곤 855 모바일 플랫폼,,한국퀄컴유한회사
170,4,,다국어 현지화 및 번역 서비스,hansemeug.com/,한샘EUG
171,3,,센스타임,hancommds.com/,한컴엠디에스
172,2,,FinTech 구축 운영 서비스,hostway.co.kr,호스트웨이아이디씨(주)
173,1,,기업홍보영상,www.huartcompany.com,휴아트컴퍼니
